City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
310,ypsonas,34.6884,32.9574,20.54,64,20,12.35,CY,1705923173
311,amal,59.051,12.7049,5.0,81,100,12.97,SE,1705923173
312,kavaratti,10.5669,72.642,28.43,69,77,3.88,IN,1705923174
313,fale old settlement,-9.3852,-171.2468,29.31,72,64,2.49,TK,1705923175
314,justo daract,-33.8594,-65.1828,22.87,48,61,4.35,AR,1705923175
315,qamdo,31.1667,97.2333,-10.09,33,42,1.25,CN,1705923175
316,villa el carmen,11.9801,-86.5057,22.65,74,8,6.58,NI,1705923176
317,kaa-khem,51.6833,94.7333,-29.77,96,21,0.94,RU,1705923176
318,totness,5.8833,-56.3167,27.1,66,3,5.59,SR,1705923177
319,tolanaro,-25.0319,46.9987,30.04,70,20,8.23,MG,1705923177
320,zholymbet,51.7433,71.7122,-17.41,85,67,2.83,KZ,1705923177
321,meulaboh,4.1363,96.1285,26.64,83,40,1.55,ID,1705923178
322,sur,22.5667,59.5289,23.97,60,13,4.57,OM,1705923178
323,lompoc,34.6391,-120.4579,14.08,87,100,8.23,US,1705923179
324,port blair,11.6667,92.75,28.02,65,20,3.6,IN,1705923179
325,namibe,-15.1961,12.1522,26.8,59,29,5.47,AO,1705923159
326,nemuro,43.3236,145.575,-0.78,72,99,5.83,JP,1705922893
327,bamboo flat,11.7,92.7167,28.05,65,20,3.6,IN,1705922946
328,belgrade,44.804,20.4651,4.07,62,0,4.63,RS,1705923181
329,guatire,10.4762,-66.5427,25.38,96,72,1.09,VE,1705923181
330,bangassou,4.7413,22.8184,38.74,9,4,1.35,CF,1705923182
331,kharp,66.8014,65.8081,-10.89,91,100,3.2,RU,1705923182
332,puerto aysen,-45.4,-72.7,12.4,98,94,0.49,CL,1705922996
333,zahedan,29.4963,60.8629,17.95,15,0,4.12,IR,1705923183
334,guerrero negro,27.9769,-114.0611,15.66,88,100,1.85,MX,1705923184
335,kamloops,50.6665,-120.3192,2.54,89,75,5.66,CA,1705923184
336,saldanha,-33.0117,17.9442,31.03,73,63,11.59,ZA,1705923124
337,cabo san lucas,22.8909,-109.9124,19.86,79,99,2.68,MX,1705923031
338,tandil,-37.3217,-59.1332,19.82,38,4,3.25,AR,1705923185
339,la sarre,48.8002,-79.1996,-5.47,87,100,6.3,CA,1705923185
340,nantucket,41.2835,-70.0995,-4.92,58,0,5.14,US,1705923186
341,mount gambier,-37.8333,140.7667,13.04,74,23,4.03,AU,1705923174
342,itambe,-15.245,-40.6244,29.97,59,98,1.4,BR,1705923186
343,tobruk,32.0836,23.9764,14.46,67,93,7.93,LY,1705923186
344,korsakov,46.6328,142.7813,-15.09,93,100,9.22,RU,1705923027
345,tongren,27.7172,109.1853,-3.44,90,86,2.34,CN,1705923175
346,jining,35.405,116.5814,-6.65,31,20,2.39,CN,1705923177
347,port macquarie,-31.4333,152.9167,22.72,78,72,3.57,AU,1705923098
348,sitka,57.0531,-135.33,3.94,87,100,1.54,US,1705923188
349,alta,69.9689,23.2717,-5.41,83,75,5.14,NO,1705923188
350,kavieng,-2.5744,150.7967,27.95,79,93,1.75,PG,1705923188
351,santa ana de yacuma,-13.75,-65.4333,25.97,83,75,0.0,BO,1705923189
352,trashi yangtse,27.6116,91.498,5.98,79,42,0.49,BT,1705923190
353,holualoa,19.6228,-155.9522,20.99,76,100,1.54,US,1705923190
354,lorengau,-2.0226,147.2712,27.89,80,98,3.17,PG,1705923191
355,bandarbeyla,9.4942,50.8122,26.09,62,24,10.87,SO,1705923191
356,fort st. john,56.2499,-120.8529,-18.06,78,100,6.69,CA,1705923191
357,daru,-9.0763,143.2092,25.65,90,100,4.45,PG,1705923018
